"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание пользователя","3","0","Создание пользователя без обязательных полей","0"
"0","","0","Создание заказа","2","0","Создание заказа без ингредиентов","0"
"0","","0","Создание заказа","1","0","Создание заказа без авторизации","0"
"0","","0","Логин пользователя","3","0","Логин с неверными данными","0"
"0","","0","Создание заказа","1","0","Создание заказа с авторизацией","0"
"0","","0","Логин пользователя","1","0","Успешный логин","0"
"0","","0","Создание пользователя","1","0","Создание дубликата пользователя","0"
"0","","0","Создание заказа","1","0","Создание заказа с неверными данными","0"
"0","","0","Создание пользователя","1","0","Успешное создание пользователя","0"
